,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
412,Pengaruh Pakan dan Vaksinasi Terhadap Keuntungan Ayam Broiler,S.Beik Dienillah,"Ari Basuki, S.T.,M.T",Imron Kuswandi,Kebutuhan masyarakat dalam mengkonsumsi ayam broiler setiap tahunnya meningkat. Usaha ayam broiler merupakan salah satu andalan dalam subsektor peternakan di Indonesia. Dalam melakukan usaha ayam broiler hal yang harus diperhatikan adalah pakan dan vaksinasi. Pakan merupakan 70% dari biaya produksi sehingga pakan yang diberikan harus efisien. Vaksinasi dilakukan untuk meningkatkan antibodi ayam broiler. Pemberiaan pakan dan vaksinasi yang tepat akan mengurangi angka kematian dan meningkatkan keuntungan hasil panen. Penelitaian ini dilakukan untuk mengetahui pengaruh pakan dan vaksinasi terhadap keuntungan atau keuntungan ayam broiler dan mengetahui komposisi pakan dan pemberian vaksinasi mana yang paling optimal. Penelitian ini menggunakan metode RAL dan Benefit Cost Ratio. Dari hasil penelitian ini diketahui bahwa tidak ada pengaruh yang signifikan dari faktor pakan dan vaksinasi terhadap keuntungan ayam broiler dan komposisi pakan yang paling optimal adalah jenis pakan 3 vaksinasi ke 8 hari dengan keuntungan Rp. 116.144
413,PENGARUH TEMPERATUR SERTA KECEPATAN SCREW TERHADAP OVALITY DAN KESERAGAMAN DIAMETER FILAMEN HDPE PADA RANCANGAN EKSTRUDER PLASTIK,Tri Wahyudi,"Anis Arendra, S.T., M.Eng","Mu'alim, S.T., M.T","Kebutuhan plastik meningkat hingga mengalami kenaikan rata-rata 200 ton per tahun. Kementrian Lingkungan Hidup (KLH), setiap hari warga Indonesia menghasilkan 0,8 kg sampah per orang atau sekitar 189 ton sampah perhari. Pemanfaatan hasil produk plastik yang berada di wilayah Indonesia masih tertinggal dari Negara maju. Pengolahan limbah plasti dapat dilakukan dengan menggunakan berbagai mesin yang diantaranya ialah Extrusion 36%, Injection 32%, Blow Molding 10%, Calendering 6%, Coating 5%, Compression 3%, Powder (Roto) 2%, dan lain-lain 6%. Prosentasi terbesar ialah menggunakan mesin ekstruder yang dipengaruhi oleh temperature dan kecepatan screw. Untuk mengetahui hasil seragam, ovality dan dapat mengetahui beberapa parameter kombinasi, maka memerlukan tahap percobaan design of eksperiment. Berdasarkan hasil hasil penelitian, kombinasi perlakuan terbaik ialah yang menghasilkan rata-rata yang terkecil artinya yang memakai kombinasi temperature 180 0C dengan kecepatan screw 8 rpm.
Kata kunci : Perancangan mesin ekstruder, design of eksperiment, Analisis Statistik.
"
414,"ANALISIS PENILAIAN KONTRIBUSI TEKNOLOGI ""KAMPUNG COKLAT"" UNTUK STRATEGI BERSAING",ELVI SYAHRINA,"IMRON KUSWANDI S.T., M.T.","ARI BASUKI S.T., M.T.","Kampung Coklat merupakan perusahaan yang memproduksi coklat olahan yang terletak di Kabupaten Blitar. Kampung Coklat memproduksi coklat olahan yang diberi nama “Gusant”. Untuk mengolah coklat olahan tentunya kampung coklat didukung dengan menggunakan mesin yang cukup baik. selain menggunakan mesin terdapat juga pekerjaan yang dilakukan secara manual. Di Indonesia sendiri terdapat banyak kompetitor dengan bisnis yang sama untuk itu agar tetap bertahan. Agar tetap bertahan pada persaingan dengan kompetitor sejenis Kampung Coklat perlu melakukan penilaian kontribusi teknologi terhadap komponen teknologi (technoware, humanware, infoware, orgaware) perusahaan dengan metode Teknometrik, pembobotan dengan metode AHP (Analytical Hierarchy Process) serta dilanjutkan dengan penyusunan rekomendasi strategi pengembangan dengan metode SWOT. Adapun hasil penelitian yang dilakukan diperoleh Technology Contribution Coefficient (TCC) Kampung Coklat terletak pada 0,5<0,538?0,7 maka Kampung Coklat pada klasifikasi baik. Pada perbandingan dengan tingkat teknologi TCC, 0,3<0,538?0,7,maka Kampung Coklat termasuk pada klasifikasi semi modern. Salah satu usulan yang dapat digunakan yaitu Perusahaan harus meningkatkan promosi dengan melakukan pembaharuan pada media informasi (web, facebook, instagram) yang digunakan agar memudahkan perusahaan sendiri untuk memasarkan produk “Gusant” kepada konsumennya.

Kata Kunci : Metode Teknomatrik, Metode AHP , Metode SWOT
"
415,Deteksi Keausan Pahat Karbida Berdasarkan Cutting Noise pada Proses Pembubutan Menggunakan Metode ANN (Artificial Neural Network),Muhammad Khoiruz Zam Zami,"Teguh Prasetyo, S.T., M.T.","Samsul Amar, S.T., M.Sc.",Pemantauan kondisi pahat merupakan salah satu aspek yang penting untuk mengetahui tingkat kualitas dan kepresisian dalam produksi dalam dunia manufaktur khususnya pada proses turning (bubut). Sistem deteksi keausan pahat yang dapat digunakan untuk meminimalisisai kerusakan produk dengan cara melihat dari cutting noise yang dihasilkan pada proses permesinan bubut karena sinyal suara tersebut sangat akurat dalam menentukan pahat yang telah aus. Penelitian ini meneliti tentang membuat sistem deteksi keausan pahat insert karbida DCMT 070204 yang digunakan dalam mesin CNC ProTurn 9000 dengan material yang digunakan adalah baja ST42. Parameter yang digunakan dalam perekaman adalah dengan frekuensi sampelnya sebesar 44100 Hz dan dengan panjang sinyal sebesar 1024 dengan banyak sampel pelatihan sebanyak 110 sampel dan validasi sebanyak 54 sampel. Sinyal suara yang diterima dari mikrofon akan menampilkan plot data berupa time domain dan dilakukan FFT agar menjadi frequency domain kemudian akan diproses menggunakan software Matlab diantaranya ekstraksi fitur dan pemilihan fitur. Pada penelitian ini didapatkan 33 fitur terpilih dan dengan neuron 33 sebagai data input dalam metode ANN(Artificial Neural Network) Backpropagation. Setelah semua proses selesai dilakukan maka akan didapatkan hasil penyimpulan kondisi pahat yakni didapatkan akurasi latih 74% dan akurasi validasi 68% berdasarkan data cutting noise.
416,PENGUKURAN DAN UPAYA PENINGKATAN PRODUKTIVITAS PADA PT GARAM (PERSERO) SUMENEP (Studi Kasus: Pegaraman I Sumenep),HARIFATUN NIFA,"FITRI AGUSTINA, S.T., M.T","IMRON KUSWANDI, S.T.,M.T","Pengukuran produktivitas ini dilkukan di Pegaraman I Sumenep. Hasil pengukuran dengan metode Marvin E Mundel diperoleh indeks produktivitas total tertinggi pada Juni 2015 sebesar 100%, dan mengalami penurunan pada bulan Nopember 12,63%. Penurunan ini terjadi karena proses kesapan I pada meja kristalisasi kurang maksimal. Untuk produktivitas parsial biaya perawatan, biaya depresiasi, dan biaya energi listrik cenderung mengalami peningkatan, sedangkan produktivitas tenaga kerja mengalami penurunan, periode 2015 sebanyak 61 orang sedangkan 2016 menurun sebanyak 31 orang tenaga kerja persiapan. Berdasarkan analisis RCA (Root Causes Analysis) diperoleh 5 akar permasalahan yang mempengaruhi penurunan produktivitas pegaraman I sumenep yaitu keterbatasan alat yang digunakan, kurangnya tenaga kerja yang dibutuhkan, pengerjaan proses pembuatan garam tidak sesuai SOP (Standart Operating Procedures), tidak ada alat pelindung hujan, kurangnya kontrol dari atasan atau mandor. Kemudian dilakukan peningkatan produktivitas dengan menggunakan metode productivity evaluation tree (PET) dengan cara menambahkan jumlah tenaga kerja terutama tenaga kerja persiapan pada saat perekrutan, akan meningkatkan produktivitas 1,349415972%."
417,ANALISIS FAKTOR YANG MEMPENGARUHI KONSUMEN DALAM MEMILIH LEMBAGA BIMBINGAN BELAJAR (LBB) DI BANGKALAN,Wastiner Sinaga,"Ida Lumintu,S.T,.M.T,.Ph.D","Mahrus Khoirul Umami, S.T,.M.T.,Ph.D","Bimbingan  belajar  adalah bimbingan yang  diarahkan  untuk membantu  para  individu dalam menghadapi dan memecahkan masalah-masalah akademik dilakukan dengan cara mengembangkan suasana  belajar mengajar  yang  kondusif  agar terhindar dari  kesulitan  belajar.  Mengenali tipe pelaku pelanggan merupakan salah satu cara agar pelanggan mau membeli produk atau jasa perusahaan sehingga pemasaran yang dilakukan dapat berjalan dengan baik. Penelitian ini bertujuan untuk menganalisis pengaruh konsumen terhadap keputusan memilih lembaga bimbingan belajar di kota Bangkalan. Metode yang dipakai dalam penelitian ini adalah analisis faktor., sampel pada penelitian ini diambil dengan menggunakan purposive sampling, teknik pengumpulan data yang dilakukan wawancara dengan kuesioner. Ukuran sample yang digunakan pada penelitian ini sebanyak 100 orang. Hasil penelitian menunjukkan bahwa Pada penelitian ini terdapat 3 faktor yang terbentuk yaitu faktor 1 (faktor situs teknologi dan penunjang keunggunalan) dengan nilai variansi sebesar 38,031%, faktor 2 (biaya dan tempat) dengan nilai variansi sebesar 13,913% dan faktor 3 (faktor pelayanan) dengan nilai variansi sebesar 10,789%."
418,Pengaruh Konsentrasi dan Frekuensi Pemberian Pupuk Organik Biosama pada Berat Total Panen Jamur Tiram,Ana Sektyoko Adji,"Sugeng Purwoko S.T.,M.T.","Agus Salim S.T.,M.T.","Petani jamur menginginkan bibit jamur yang cepat tumbuh sehingga cepat berproduksi, bebas dari kontaminasi atau tumbuhnya organisma lain yang tidak diinginkan, dapat dibeli dengan harga yang terjangkau serta menghasilkan produktivitas yang tinggi. Sedangkan produsen menginginkan bibit jamur yang mudah dibuat dan dikembangkan serta membutuhkan biaya rendah sehingga dapat menghasilkan keuntungan yang tinggi. Agar dapat memenuhi keinginan petani sebagai konsumen baglog jamur siap produksi tanpa mengorbankan kepentingan produsen, maka perlu adanya manipulasi terhadap faktor-faktor yang diduga dapat mempengaruhi kualitas pertumbuhan jamur dalam baglog tersebut agar dapat memperoleh hasil yang paling optimal bagi kedua pihak. Suatu penelitian perlu dilakukan untuk mencari suatu persamaan yang dapat menjelaskan kaitan antara parameter terhadap pertumbuhan jamur tiram putih dan mendapatkan solusi optimal bagi beberapa tujuan yang ingin dicapai. Desain eksperimen yaitu suatu rancangan percobaan (dengan tiap langkah tindakan yang betul-betul terdefinisikan) sedemikian sehingga informasi yang berhubungan dengan atau diperlukan untuk persoalan yang sedang diteliti dapat dikumpulkan. Dengan kata-kata lain, desain sebuah eksperimen merupakan langkah-langkah lengkap yang perlu diambil jauh sebelum eksperimen dilakukan agar supaya data yang semestinya diperlukan dapat diperoleh sehingga akan membawa kepada analisis obyektif dan kesimpulan yang berlaku untuk persoalan yang sedang dibahas  


.
Kata kunci : perancangan eksperimen, jamur tiram putih, probiotik.
"
419,perancangan dan implementasi sistem pengukuran kinerja agen pemasaran dengan menggunakan metide human resource scorecard (studi kasus PT AJB Lamongan),hindun sri rahayu,"fitri agustina S.T M.,T","trisita novianti S.Tp M.,T","PT. Asuransi Jiwa Bumiputera merupakan perusahaan asuransi jiwa tertua di Indonesia dan memiliki banyak nasabah. Agen memilki peranan penting terhadap perusahaan PT. AJB,karna sebagai pemasar kepada nasabah. Untuk itu seorang agen harus memilki kinerja yang bagus maka dapat dilakukan pengukuran dengan HRSc. Metode human resouce scorecard (HRSc) merupakaan salah satu metode pengukuran kinerja yang memfokuskan pada sumber daya manusia yang mengaitkan antara orang-strategi kinerja untuk diukur sejauh mana peranannya terhadap pencapaian visi, misi dan strategi perusahaan.
Strategi metode campuran dalam penelitian ini adalah urutan analisis kualitatif dan kuantitatif. Tujuan strategi ini adalah untuk merancang peta strategi Agen dan mengidentifikasikan indikator keberhasilan tiap strategy objective melalui analisis data kualitatif, dan selanjutnya analisis kuantitaif untuk mengetahui proses pengukuran kinerja SDM dengan metode Human Resource Scorecard dengan bantuan alat ukur Analytical Hierarchy Process dan bantuan tampilan Dashboard.
Kata kunci : HRSc, AHP,Strategy Objective, Dashboard
"
420,Srategi Pengembangan Pariwisata Di Sumenep dengan Metode Multi Attribute Utility Theory (MAUT),Dwi Nurti Yuliani,"Issa Dyah Utami, S.T., M.T., Ph.D","Heri Awalul Ilhamsah, S.T., M.T","Kondisi geografis di kota Sumenep menyebabkan kota Sumenep memiliki keragaman produk dan potensi pariwisata. Salah satu yang banyak dinikmati oleh wisatawan adalah wisata alam berupa pantai dan pulau, juga wisata religi yang memiliki sejarah dan tak luput juga wisata kuliner yang ada di Sumenep. Penelitian ini bertujuan untuk melihat potensi kawasan wisata dan strategi pengembangan yang selama ini di lakukan oleh kota Sumenep. Penelitian ini fokus pada pengembangan pariwisata yang terletak di Kabupaten Sumenep. Dengan menggunakan metode Analitical Hierarchy Process (AHP) Selanjutnya untuk pariwisata yang terpilih akan dilakukan analisis SWOT Kemudian merumuskan prioritas strategi untuk mengoptimalkan pengembangan dari obyek wisata yang terpilih dengan menggunakan Multi Attribute Utility Theory (MAUT).  Hasil pengolahan data menunjukkan bahwa wisata Asta Tinggi merupakan obyek wisata yang memiliki bobot tertinggi. Dengan demikian, wisata Asta Tinggi merupakan obyek wisata terpilih yang akan dikaji dalam penelitian ini. Hasil pengolahan data juga menunjukkan bahwa terdapat 5 strategi yang menjadi prioritas untuk pengembangan obyek wisata Asta Tinggi.

Kata Kunci : wisata, Sumenep, AHP, SWOT, Multi Attribute Utility Theory
"
421,"PERANCANGAN PENILAIAN KINERJA KARYAWAN KONTRAK BERDASARKAN KOMPETENSI SPENCER DAN SISTEM UPAH DI PERUSAHAAN DAERAH AIR MINUM ""SUMBER POCONG"" BANGKALAN",PUNGKY YUNI ARDIANI,"FITRI AGUSTINA., S.T.,M.T","IDA LUMINTU.,S.T.,M.T.,Ph.D","Pada Perusahaan Daerah Air Minum (PDAM) Bangkalan terdapat 2 jenis karyawan. Diantaranya adalah karyawan tetap dan karyawan kontrak, penilaian kinerja karyawan tetap dilakukan dengan menggunakan sistem DP3 (Daftar Penilaian Pelaksanaan Pekerjaan). Sedangkan pada karyawan kontrak belum terdapat sistem yang terukur sehingga penilaian dilakukan sesuai dengan hasil kerja yang telah dilakukan. Penilaian karyawan kontrak dilakukan dengan mengukur menggunakan kompetensi spencer. Dipilih beberapa kriteria yang akan digunakan adalah semangat berprestasi, Proaktif, Kesadaran berorganisasi, Kerjasama kelompok, Berpikir konseptual, Keahlian teknikal/professional, Fleksibiltas. Digunakan AHP untuk melakukan penilaian kinerja, selanjutnya melakukan penskoringan dengan BARS dan dihitung upah yang didapatkan pada setiap karyawan.Nilai bobot yang diperoleh setiap kriteria adalah semangat berprestasi memiliki bobot (0,358), kriteria proaktif memiliki bobot (0,182), kriteria kesadaran berorganisasi (0,139), kriteria kerjasama kelompok (0,113), kriteria berpikir konseptual (0,085), kriteria keahlian teknikal/professional memiliki bobot (0,057), kriteria fleksibilitas memiliki bobot (0,038), kriteria komitmen pada organisasi memiliki bobot (0,027).
Kata kunci : Penilaian Kinerja, Kompetensi Spencer, Analytical Hierarchy Process, BARS, Perhitungan Upah
"
422,Pengaruh Perlakuan Pakan Alami Dan Frekuensi Pakan Tambahan Terhadap Berat Udang Vannamei,Fahmi Saifuddin,"Sugeng Purwoko S.T.,M.T","Heri Awalul Ilhamsah S.T.,M.T","ABSTRAK
Pemeliharaan pada budidaya udang vannamei di desa Karang Turi  masih menggunakan budidaya tradisional. Sehingga  harus ada peningkatan produktivitas pada udang vannamei. Pada penelitian ini akan dilakukan percobaan pakan alami dan frekuensi pakan tambahan untuk meningkatkan produktivitas dengan melihat bobot udang pada setiap petak dan menganalisis biaya pada kombinasi terbaik pada perlakuan yang akan diterapkan di tambak penelitian desa Karang Turi  Glagah Lamongan. Penelitian ini menggunakan desain Rancangan Acak Lengkap (RAL) faktorial 32 . Yang mana dalam penelitian ini media percobaan menggunakan air yang diasumsikan homogen sehingga sangat tepat untuk menggunakan desain rancangan acak lengkap. Sedangkan dalam penelitian ini terdapat 2 faktor yaitu pakan alami dan frekuensi pakan tambahan. Hasil penelitian menunjukan bahwa Kombinasi fermentasi pakan alami dengan frekeunsi pemberian pakan tambahan 2 kali perhari menjadi kombinasi yang terbaik dalam penelitian ini. Hal tersebut didapatkan dari uji lanjut Tukey yang mempunyai mean sebesar 25,666.

Kata kunci : frekuensi pakan tambahan, pakan alami, udang vannamei
"
423,ANALISIS STRATEGI PENGEMBANGAN LEMBAGA BIMBINGAN BELAJAR (LBB) PRIMAGAMA DENGAN BLUE OCEAN STRATEGY,SITI MAR'ATUSSOLEHA MUFTIARINI,"FITRI AGUSTINA S.T., M.T","HERI AWALUL ILHAMSAH S.T., M.T","Dari hasil penelitian untuk menganalisis strategi pengembangan lembaga bimbingan belajar (LBB) yang dilakukan pada LBB Primagama peneliti pengolahan data yang telah dilakukan, ternyata masih terdapat kepentingan pelanggan yang belum dapat terpenuhi oleh pihak Primagama Sampang, hal tersebut dapat kita ketahui dari nilai CSI yang diperoleh yaitu sebesar 53% yang berdasarkan tabel index CSI masih tergolong dalam kriteria cukup puas. kanvas strategi faktor yang terpilih hanya 5 variabel dari 22 variabel diantaranya yaitu variasi paket program, harga paket program, promosi, waktu belajar, dan pelayanan. Setelah 5 variabel terpilih selanjutnya dilakukan kerangka kerja 4 langkah dengan hasil penelitian penentuan prioritas dan strategi pengembangan LBB Primagama di Kabupaten Sampang dengan metode AHP adalah prioritas strategi pengembangan LBB Primagama di Kabupaten Sampang membandingkan 5 kriteria Pasar, SDM, Sarana dan Prasaranan, Biaya serta Waktu dan 3 alternatif program belajar. Dari perbandingan tersebut diperoleh hasil 0,395 atau 40% untuk open house, 0,355 atau 36% untuk bimbingan belajar online, 0,248 atau 25% untuk belajar weekend. Sehingga program belajar open house  menjadi prioritas pertama dan merupakan strategi terpilih dengan bobot potensi strategi terbesar diantara alternatif lainnya. Nilai bobot ini dapat digunakan karena nilai CR semua perbandingan bernilai ? 0,1 sehingga responden konsisten dalam memberikan penilaian.
Kata Kunci: Strategi pengembangan, Blue Ocean Strategy (BOS), Importance Performance Analysis (IPA),Analytical Hierarchy Process (AHP)

"
424,Pengaruh massa plastik dan putaran pisau mesin crusher terhadap persentase plastik tercacah menggunakan desain experimen,Adi Ramdhani,"Sugeng Purwoko, S.T., M.T.","Imron Kuswandi, S.T., M.T.","ABSTRAK

Sampah merupakan hal yang sangat dipermasalahkan dalam masyarakat dikarenakan dengan keberadaannya yang tidak diinginkan dengan sifatnya yang kotor bau serta di anggap tidak berharga lagi, namun sampah tidaklah semua bersifat demikian seperti smapah plastik dapat kita jumpai dan dapat kita manfaatkan sesuai dengan keinginan kita dengan cara pendaur ulangan sampah plastik dengan demikian tingkat keberadaan penimbunan sampah terutama plastik akan berkurang salahsatunya yaitu pendaurulangan dengan cara mencacah dengan suatu mesin yang kemudian akan dijadikan sebuah karya atau produk yang akan memberikan nilai jual yang lebih baik. Untuk itu dalam percobaan penggilingan diperlukan kombinasi kombinasi yang pas agar dalam proses menggiling nantinya menghasilkan hasil yang memuaskan atau dapat dikatakan sesuai dengan harapan. Percobaan  yang akan melibatkan dua faktor tersebut akan di analisa dengan cara tersendiri dengan tujjuan apakah ada pengaruhnya ddua faktor itu terhadap hasilnya dan apakah interaksi yang terbentuk antara kedua faktor itu. Dengan percobaan kedua faktor itu maka percobaan ini di sebut dengan faktorial.

Kata kunci : Pengaruh massa plastik HDPE dan putaran pisau, faktorial,  tukey.
"
425,"REDESIGN MESIN PENCACAH PLASTIK DENGAN
MENGGUNAKAN METODE REVERSE ENGINEERING ",Bayu Susanto,"Mu'alim, S.T., M.T.,","Sugeng Purwoko, S.T., M.T.,","Semakin bertambahnya jumlah penduduk akan meningkatkan jumlah sampah disetiap wilayah. Pertambahan jumlah sampah yang tinggi terjadi di kota besar seperti Jakarta. Sampah plastik merupakan jenis sampah yang sulit terurai karena dalam sampah plastik mengandung phthalates, adipates, dan bahan alklilfenol yang dapat merusak lingkungan. Jenis plastik yang meningkat setiap tahunnya adalah jenis plastik HDPE mencapai 33,5%. Laboratorium Sistem Manufaktur Universitas Trunojoyo saat ini telah melakukan pengembangan produk dari recycle bahan plastik, seperti cacahan plastik dan pelet  plastik.  Dalam  meredesain  mesin  pencacah  plastik  ini  dengan  menggunakan metode Reverse  Engineering.  Dari  penelitian  ini menghasilkan  perbandingan  hasil cacahan  plastik  sebelum  diredesain  dan sesudah  redesain.  Sebelum  diredesain  dari
240  gr  plastik  HDPE  menghasilkan   outputan  sebesar  150  gr,  sedangkan  setelah dilakukan   redesain  plastik  yang  digiling  sebanyak  10  kg  dengan  menghasilkan outputan 9,8 kg.
"
426,KEPUTUSAN PEMBELIAN PRODUK BATIK PADA PANGSA PASAR MAHASISWA UNIVERSITAS TRUNOJOYO MADURA,ARI PUSPITA SARI,"ISSA DYAH UTAMI,S.T.,M.T","TRISITA NOVIANTI, S.TP.,M.T","Permasalahan dalam penelitian ini adalah banyak yang beranggapan bahwa produk batik tidak disukai oleh para remaja, karena banyak dikalangan remaja yang beranggapan bahwa kain batik tersebut kuno, dan hanya digunakan pada acara formal, seperti perkawinan. Oleh karena itu, pada penelitian ini membahas tentang “Keputusan Pembelian Pada Produk Batik Pada Pangsa Pasar Mahasiswa Universitas Trunojoyo Madura (Studi Kasus:Batik Tulis, Bangkalan)”. Responden pada penelitian ini adalah Mahasiswa Universitas Trunojoyo Madura yang berusia 19 tahun sampai 23 tahun, dan pernah melakukan pembelian batik tulis Bangkalan. Teknik pengambilan sampel pada penelitian ini adalah dengan metode purposive sampling, dimana pengambilan sampel dengan berdasarkan kriteria-kriteria tertentu. Jumlah sampel pada penelitian ini berjumlah 357 responden. Penelitian ini menggunakan metode regresi logistik. Regresi Logistik merupakan suatu metode dimana untuk mengetahui pengaruh variabel x terhadap variabel y. Variabel terikat terdiri dari keputusan pembelian, sedangkan untuk variabel bebas terdiri dari promosi, harga, kualitas produk, dan brand merk. Dari hasil uji regresi dengan software SPSS, didapatkan hasil bahwa variabel yang berpengaruh signifikan terhadap keputusan pembelian produk batik tulis di Bangkalan Madura adalah promosi, dengan nilai sig (0,02) < (0,05) sehingga tolak H0. Berdasarkan nilai exp (B) variabel promosi dapat mengakibatkan konsumen melakukan keputusan pembelian sebesar 1,166 kali lebih besar dibandingkan dengan konsumen yang tidak melakukan pembelian. 





Kata Kunci: Batik, Keputusan Pembelian, Regresi  Logistik
"
427,ANALISIS PENGARUH VARIASI JENIS DAN KONSENTRASI KITOSAN SEBAGAI PENGAWET ALAMI DAGING AYAM,SONI PUJI SANTOSO,"SUGENG PURWOKO, S.T.,M.T","MU'ALIM, S.T.,M.T","Kitosan merupakan suatu senyawa yang tidak beracun dan mempunyai sifat yang mudah terurai oleh tanah (biodegradable). Pada penelitian ini bertujuan untuk menegetahui pengaruh variasi jenis kitosan terhadap pH daging ayam, mengetahui pengaruh perlakuan variasi konsentrasi terhadap pH daging ayam, mengetahui pengaruh interaksi variasi jenis dan konsentrasi kitosan terhadap pH daging ayam, dan mengetahui pengaruh variasi jenis dan konsentrasi kitosan terhadap masa simpan daging ayam. Rancangan yang digunakan dalam percobaan ini adalah rancangan faktorial 32 yang terdiri dari 9 kombinasi dan 2 faktor antara lain variasi jenis kitosan dan konsentrasi kitosan. Berdasarkan penelitian yang telah dilakukan maka diperoleh hasil bahwa jenis kitosan yang beredar dipasaran dengan nilai pH 6,25, dan untuk kitosan dari cangkang kerang menunjukkan nilai pH 6,70, sedangkan untuk kitosan dari sisik ikan memiliki nilai pH antara 6,25-6,40. Maka dapat diketahui bahwa jenis kitosan yang baik adalah kitosan dari pasaran, dan untuk kitosan dari cangkang kerang kurang baik dikarenakan hampir mendekati nilai pH diatas 7, sedangkan untuk jenis kitosan dari sisik ikan masih memiliki hasil yang cukup baik dikarenakan masih berada dalam nilai Ph 6,25-6,40.

"
428,Pengaruh Variasi Bahan Pendingin Dan Bahan Penyerap Panas Terhadap Energi Yang Dihasilkan Prototipe Uji Generator Thermoelektrik,Ahmad Bagus Saifullah,"Mu’alim S.T., M.T.","Ida Lumintu S.T., M.T.,Ph.D.","Pencabutan subsidi listrik golongan 900 VA yang diberlakukan sejak 1 Mei 2017 membawa dampak yang cukup signifikan pada kenaikan tarif listrik golongan 900
VA yang masuk kategori RTM ( rumah tangga mampu).sebesar 30 persen kondisi ini secara langsung mengakibatkan beban pengeluaran masyarakat semakin tinggi untuk listrik rumah tangga sehingga masyarakat dituntut untuk lebih hemat dalam penggunaan listrik atau mencari alternatif energi yang bisa mensubtitusi kebutuhan listrik sehingga dapat meringkan beban pengeluaran listrik.
Disisi lain, saat ini penggunaan kompor gas LPG (liquefied petroleum gas) di Indonesia   sudah   menjadi   hal   yang   umum. Hampir   semua   rumah   tangga, pedagang, industri   kecil   sudah   menggunakan   jenis kompor   tersebut. Melihat kondisi   ini,   ada potensi   yang   bisa   dilakukan   dengan banyaknya   populasi pemakaian   kompor   gas LPG   di   masyarakat,   antara   lain   yaitu pemanfaatan sebagian panas yang dihasilkan   dari   pembakaran   gas   LPG menjadi   energi listrik.Potensi pembangkitan energi  listrik  berbasis kompor LPG ini  perlu   dikaji penggunaannya sebagai sumber energi listrik alternatif rumah tangga
"
429,PENGARUH VARIASI BAHAN TAMBAHAN DAN VARIASI KOMPOSISI BAHAN MADE’ COFFEE TERHADAP DAYA TERIMA KONSUMEN,Zufianti Octavia M,"Dr. Rachmat Hidayat, ST.,MT.","Mu’alim, ST.,MT.","Minuman kopi yang dikonsumsi pada umumnya adalah kopi yang mengandung kafein yang sangat tinggi karena diolah dari biji kopi. Kafein tersebut dapat menyebabkan gangguan atau efek buruk pada kesehatan yang jika dikonsumsi secara berlebihan, sehingga untuk menurunkan kadar kafein yang terdapat pada kopi adalah dengan dekafeinasi tetapi cara tersebut biayanya mahal. Sehingga alternatif selanjutnya adalah membuat kopi herbal yang berbahan dasar dari jagung, kacang hijau, dan kedelai. Penelitian ini bertujuan untuk menambah varian produk “Made’ Coffee” dengan menggunakan uji organoleptik (hedonik), sehingga dapat diketahui daya terima konsumen yang meliputi rasa, warna, dan aroma dari kopi dengan variasi bahan tambahan (jagung, kacang hijau, dan kedelai) dan variasi komposisi bahan. Metode penelitian ini yang digunakan adalah Design Experiment dengan Rancangan Acak Lengkap Faktorial dengan 2 faktor dan tiga level (32). Faktor pertama yaitu variasi bahan tambahan (A) yaitu jagung (A1), kacang hijau (A2), dan kedelai (A3), dan faktor kedua adalah Variasi komposisi bahan (B) yaitu 1:1 sebanyak 8gr (B1), 1:2 sebanyak 8 gr (B2), dan 2:1 sebanyak 8 gr (B3). Design Experimen faktorial menghasilkan 9 kombinasi yaitu A1B1, A1B2, A1B3, A2B1, A2B2, A2B3, A3B1, A3B2, A3B3 dan perlakuan yang diguanakan sebanyak 35 perlakuan. Analisis yang digunakan adalah menggunakan Microsoft Excel, Sofware Minitab 17 untuk analis variansi yang menunjukkan adanya pengaruh dari kedua faktor tersebut terhadap daya terima konsumen (rasa, warna dan aroma). Analisis uji lanjut yang digunakan adalah uji lanjut Tukey dengan Software Minitab 17 untuk mengetahui perbedaan faktor yang paling berpengaruh terhadap variabel respon daya terima konsumen (rasa, warna, dan aroma)."
430,"PERBAIKAN TATA LETAK GUDANG MENGGUNAKAN METODE SHARED STORAGE PADA KANTOR PENJUALAN PT. SINAR SOSRO (Cabang Bangkalan) 
",Muhammad Husein Rifai,"Sugeng Purwoko, ST,. MT,.","Issa Dyah Utami, ST,. MT,.","PT.Sinar Sosro merupakan perusahaan air minum dalam kemasan yang memproduksi berbagai macam jenis produk minuman. Kantor penjualan PT.Sinar Sosro yang berada di Bangkalan mempunyai permasalahan tentang buruknya sistem pergudangannya. Berdasarkan kondisi lapangan pada kantor KP Bangkalan maka metode shared storage menjadi pilihan yang paling tepat dalam usaha untuk memperbaiki tatanan produk pada gudang. Jumlah tumpukan maksimal pada produk RGB sebanyak 10, sedangkan untuk produk non RGB sebanyak 8. Produk yang mempunyai frekuensi keluar masuk paling banyak adalah teh botol sosro, sehingga produk tersebut ditempatkan pada slot paling depan pada gudang RGB. Jarak perpindahan terpendek pada gudang RGB terletak pada slot C1 dengan total jarak sebesar 2,52 m. Sedangkan untuk jarak perpindahan terpendek pada gudang non RGB terletak pada slot 5 dengan jarak 2 m. Penataan ulang produk pada layout usulan dapat dilihat pada gambar lampiran 1. 
Kata Kunci : Tata Letak Gudang, Shared Storage, Penyimpanan.
"
