userName;score;at;content;
dier simeulue;1;13/10/2023 12:27;Semakin hari semakin gak nyaman pakai DANA, trasaksi pembyaran susah sekali, sering gagal, Terpaksa hapus data dulu,masuk lagi baru bisa,itupun hanya sebentar, Untuk selanjutnya gagal lagi.. Begitu seterusnya.;
Riki Restu Raniri;1;23/10/2023 03:00;Untuk kali ini gw ganti bintangnya jadi 1, kecewa transfer ke bank transaksinya ngegantung. Saldo ke potong tapi transaksi gagal. Statusnya masih di proses dan yg bikin kecewa lagi gw harus nunggu maksimal 3 hari kerja. Buset dah aplikasi lu yg bikin kesalahan malah gw yg di bikin repot mana akhir bulan mau gw pake duitnya.;
Iway Estes;1;14/10/2023 10:37;Akhir² ini aplikasi dana susah kirim melalui barcode,tp setelah di hapus & di download lg jd bs kembali wlw hanya bs utk 1x kirim. Gitu dan gitu trs tiap mau kirim,hapus trs downlpad,gmna ini solusinya,tanya diana makin memusingkan,bs via WA;
Nia Situmorang;1;20/10/2023 10:00;Aplikasi tidak bertanggung jawab. Tidak bisa dipercaya. Tidak ada respon baik dari pihak dana jika terjadi kendala. Live chat jugak tidak ada respon yg jelas. Saya sudah menggunakan aplikasi lebih dari 5 tahun. Tapi kecewa karna tidak ada kejelasan jika terjadi permasalahan transaksi. Aplikasi sangat mengecewakan. Banyak juga saya dengar yg sudah terpitu menggunakannya;
Reza Alamsyah;1;09/10/2023 15:39;Parah, stiap dibuka aplikasi selalu lag, bahkan sampai ber jam jam, sudah diupdate sudah menggunakan wifi tapi tetap saja tidak bisa diakses dengan alasan konekti internet tidak tersedia....;
Siti Nuralikaaa;1;05/10/2023 00:16;ga tau kenapa kesel. kemarin udah di upgrade ke premium berhasil, skrng mau kirim uang malah harus upgrade premium lagi sih, ada masalah apa cobaaa! Udah dicoba bbrpa kali malah gagal muluuuuu.!!!!!!;
haris setia;1;13/10/2023 12:42;Loadingnya lama bnget, berat ngangkatnya, sering blank, mau cepat dan simple, tp malah ribet bnget, tdk bisa d akses dng lancar. Tdk recomended deh.;
dendi rindiyana;1;07/10/2023 15:18;Akun saya masih tidak bisa melakukan transaksi transfer ke akun bank maupun ke teman,, setiap mau transaksi harus log out dulu hapus data,, login lagi baru bisa nanti seperti itu lagi,, cuman bisa transaksi ke akun bank yang sudah ada di riwayat transaksi saja klo ga di log out tuh;
priska carolin;1;04/10/2023 12:20;sangat jelek aplikasi ini, semua di persulit mana asisten digitalnya lama banget respon, dan banyak pengguna seperti saya yang gagal upgrade ke premium, mana uang ngak bisa di tarik lagi, hadeee;
Alika darmawan;1;08/10/2023 11:21;Saya kasih bintang 1 soalnya saya gak tau kalau trf harus upgrade ke premium Lalu saya top up dana di toko merah dengan nominal besar lalu pas saya mau trf harus di update dulu ke premium tapi sampai saat ini gagal terus padahal KTP dan juga Poto wajah sudah berhasil tapi upgrade tetep gagal. Saya TLP ke 1500445 tidak nyambung saya email pun tidak ada balasan sama sekali padahal uang nya buat bayar sekolah. Sampai saat ini saya belum bisa transfer adakah solusi dari dananya;
manz AL;1;27/10/2023 11:59;Aplikasi badut, dulu sebelum versi aplikasi sekarang dana masih bisa masuk walaupun nomor yang kita pakai sudah tidak atif, dengan beberapa langkah yang di jalani, kita bisa mengembalikan akun kita yang masih tertaut dengan akun lama, sekarang sudah percuma, niat mau meningkatkan keamanan malah jadi bumerang bagi penggunanya sendiri, lebih baik gopay dalam hal privasi dan keamanan untuk sekarang;
fdz mee;1;11/10/2023 12:59;Kenapa Dana jadi makin sulit, padahal waktu itu udah upgrade ke Dana premium terus tiba - tiba pas mau Tf disuruh upgrade lagi ke Premium. pas di upgrade malah g bisa, sampe sekarang g bisa di upgrade masih disuruh nunggu terus. padahal kita lgi perlu banget layanan tf nya;
Muhammad Sidiq;1;07/10/2023 01:26;Gimana sih aplikasinya,semakin d update,semakin buruk saja, setiap mau transfer dan memasukan nomor tujuan,selalu keluar bacaan nomor tidak di kenal,padahal baru saja transfer ke nomor tersebut,. Semakin buruk saja ni aplikasinya;
Aan Safii;2;15/10/2023 18:26;Aplikasinya bagus..tp beberapa hari terakhir ini ada kendala.setiap kali mau transaksi kesesama dana selalu nggak bisa (nomor ini tidak terdaftar.uang akan di kirim jika penerima mendaftar ke DANA dalam waktu 1 jam);
Penyetan Mbakwulan;1;26/10/2023 04:44;Saya Gela dgn aplikasi ini !!!! Karna saya awam ga tau app ini. Saya buat 2x krna no lama udah ga dipake. & no baru ada saldo. Udah berkli2 upgrade nugu lama bgt hasil gagal2 trus. Trus apa kabar saldo saya yg di DANA ????????????? KECEWA Diana Diana Diana !!!!! Kecewa saya . Gada solusinya. Laporan ribet2 nugu lama zonk trus;
ilman Syarif;5;16/10/2023 08:07;Sangat membantu sih , cuman sering gangguan nih min nyampe se jam nih gangguan nya tolong d perbaiki, setelah d upgrade pun berat banget mohon untuk di perbaiki, thank !!!!!;
Rimayaki New;1;16/10/2023 15:37;"Sangat mengecewakan. Tiba-tiba saldo hilang, setelah di cek riwayat transaksi. Ada aktifitas ""kirim dana"" ke nomor tak dikenal. Sebelumnya tiba2 aplikasi logout.";
Ft Kun;1;14/10/2023 12:22;Siang ini Top up e-money sukses, saldo terpotong tapi di update saldo di aplikasi ternyata tidak masuk, kacau. Sepertinya banyak yang mengalami seperti saya juga. Sudah komplain cuma dibilang akan diproses saja, tapi sampai sekarang tetap tidak masuk.;
Pendi Pendi;1;12/10/2023 13:50;Sekarang dana makin ke sini makin aneh,sampe uang saya hilang padahal aku blm pernah berlangganan ke google,ini gmn ini sih malah makin GK nyaman,mau di stop langganan malah GK muncul,uang Ampe hilang semua, waktu kemarin2 GK ada masalah setelah update makin bermasalah.;
Fendi Fendi;1;17/10/2023 07:55;"Sangat jelek aplikasinya. Saya ngirim uang melalui dana ke tujuan rekening bank tapi tidak masuk ke tujuan. Padahal status nya ""Transaksi Berhasil"", terus uang nya kemana?? Hanya disuruh menunggu tanpa ada kepastian. Saya sudah menunggu lama. Dan Saya menyesal bertransaksi pakai aplikasi dana ini.";
Chandra Dewi;5;10/10/2023 04:34;Selama pakai dana sih belum mengalami kendala yg berarti.. masih lancar² aja.. cuma kalau mau top up di Alfamart suka problem JD suka ga bisa.. dan utk top up via ATM pun sekarang sudah ga bisa.. overall saya suka lah..;
Imam Kenzie sf;1;14/10/2023 11:19;Untuk transfer di suruh upgrade premium trus untuk upgradenya susah banget gagal gagal terus, bikin tidak nyaman mau abisin saldo dulu trus ganti yang lain kali ya yang lebih mudah.;
kuda hitam;1;13/10/2023 05:02;5 bulan terakhir ini, dana lemot sekali. Untuk mengirim uang saja tidak bisa diklik tombolnya, membosankan. Kirim uang berat sekali, jadi tak bisa saldonya dikirim. Tolong segera diperbaiki pihak developer;
Ga Yoga;4;05/10/2023 15:01;Alhamdulillah setelah sekian lama menggunakan dana tidak ada kendala sama sekali baik itu melakukan top up,tarik saldo dan pembayaran lainnya.akan tetapi dana sering mengalami lag pada jaringan padahal jaringan bagus dan stabil.tolong lebih di perbaiki lagi,itu saja pesan dari saya dan TERIMA KASIH DANA BISA MENJADI DOMPET DIGITAL BANGSA INDONESIA;
Dicky Indra;1;13/10/2023 17:04;Saya beli barang, saldo udah di transfer, tapi bukti transfernya gak bisa di Screenshot, riwayat transaksi gak bisa di buka karna dana nya error, sedangkan penjual minta bukti transfernya, barang gak di terima, duit saya pun gak balik lagi, gimana ini develover, saya gak mau tau, uang saya harus di kembalikan 🤬;
MNXXV ZEK;4;17/10/2023 05:26;App Dana sangat membantu saya dalam transaksi juga bisa digunakan sebagai invest tapi sayang kenapa semakin kesini App Dana jadi LOLA ya alias loading nya sangat lambat sehingga menyulitkan saya ketika ingin melakukan transaksi belanja maupun tarik tunai sehingga saya terpaksa untuk membatalkan transaksi yang sedang berlangsung. Semoga kedepannya bisa diperbaiki lagi agar tidak lambat lagi.;
Muhammad Royhan X TITL 3;1;27/10/2023 23:50;Sangat kecewa dengan aplikasi ini, Akun saya DI TANGGUHKAN dan PENGEMBALIAN DANA padahal saya merasa tidak melakukan pelanggaran apapun saya sudah menghubungi pihak dana sudah berapa lama tidak ada tanggapan atau balasan sama sekali, saya benar benar butuh sekali saldo yang ada di akun saya. Tolong pihak dana percepat proses;
oenie 93;3;04/10/2023 16:02;Untuk melihat saldo sering lag bahkan barus berulang kali buka tutup aplikasi . Masih banyak bug : Tidak bisa lihat voucher yang ada Cek in point tidak bisa;
Idin Official;1;19/10/2023 12:40;Kenapa aplikasi dana ndk bisa login atau masuk, padahal sinyal wifi lancar lancar aja.. Tapi kok pas buka dana, sama sekali kayak tidak ada data atau wifi sama sekali... Padahal buka yutube, aplikasi onlline lain lancar lancar aja;
Wita Handayani;2;09/10/2023 03:22;Skrg2 apk ini kok susah transaksi.. Pembelian apapun gagal trs blm lagi klo tf antar bank juga susah, sesama dana pun malah nomer yg di tuju tidak terdaftar pdhl nomor tersebut terdaftar, sudah logout dan instal ulang tetap saja begitu.;
zumrawi as;1;21/10/2023 14:58;mohon bantuannya. ini mau upgrade akun premium selalu tidak bisa. sudah hubungi cs by telpon, email, chat dana dan telah melampirkan semua dokumen yang dibutuhkan tapi masih tidak ada follow up. Sangat buang waktu dan habisin pulsa menghubungi cs tapi gak ada perubahan. Kecewa dengan pelayanannya;
Ewin Prasetia;1;11/10/2023 13:41;Aplikasi nya kayak sampah , lupa pin saya bisa pengurusan nya di oper sana oper sini padahal data saya lengkap , mending kalau untuk transaksi jangan melalui aplikasi ini tidak bagus pelayanan costumer service nya , ribet urusan nya ,ini nyata;
IRQ•27;1;26/10/2023 15:52;"Mohon maaf, kenapa setiap saya isi pulsa menggunakan Dana selalu bermasalah. Terdapat tulisan ""Ada kendala dalam memproses transaksimu"". Sering kali saya mendapat gangguan seperti ini, tapi baru kali ini yang paling parah. Saya isi pulsa 50.000 dari jam 19:31 akan tetapi sampai sekarang jam 23:50 belum masuk juga pulsanya, masih dalam proses. Tolong untuk pihak terkait untuk memperbaiki masalah ini secepatnya. Karena Dana sudah saya percayai untuk segala transaksi isi pulsa dan transfer uang🙏.";
Sigit Pamungkas;1;04/10/2023 07:36;Saya kecewa sama apk Dana, sepertiny gk aman d pakai sekarng. Akun dana bisnis saya gk bisa scan wajah. Sampek skrng, kita komplain jg gk ada tindak lanjut. Trus uang yg ada di akun dana bisnis saya gk tau gmn caranya..knp gk di tambahin fitur sidik jari atau apa gto untuk dana bisnis. Jd klo scan wajah gk bisa, bisa pakai alternatif lainnya..dr kemarin komplain gk ada tanggapan sama sekali;
S.A Putri;1;16/10/2023 03:19;"Entahlah dana sekarang kenapa kyk gini ya, tahan"" saldo orang, kalau kyk gini pasti sebentar lagi ga akan ada yang mau pake, sudah hubungi CS ga ada bantuan sama skali, di suruh langsung ke cs bot Diana, tapi setelah di kasih tau keluhan malah sistem sibuk trs, aneh..";
Nana Mulyana;3;19/10/2023 02:42;Udah lama pake apk ini, tapi saya kecewa dengan kejadian ini, kemaren gabisa transfer ak coba hapus data dan login kembali, namun pemberitahuan bahwa (akun saya ditangguhkan) gabisa login sampai saat ini sudah 3hari;
Irsan Maulana;1;06/10/2023 09:14;benerin lagi sistem nya, jaringan udh bener masih aja ngelag kalo dipake, kelamaan loading, ngeframe. kirain hp nya yg bermasalah, ternyata dicoba pake hp baru pun sama aja delay nya.;
Deni Herdiansyah;4;09/10/2023 03:25;Makin kesini makin menguluh soal pengiriman dana trkadang gk timbul nama pengguna yg akan di kirim, harus unistal dulu masuk lgi baru bisa kirim lebih baik seperti dulu mudah transaksi gk sperti saat ini ribet, tolong yg punya aplikasi ini di perbaiki dan di permudah lgi sperti dulu, trimakasih;
Mamun Hidayat;4;26/10/2023 06:22;DANA sedang tidak baik-baik saja ya? Saya heran padahal jaringan bagus, tapi kenapa ya kayak misal saya pencet DAGET itu malah gak bisa kayak error, padahal asalnya gapapa? Tolong banget DANA memang sudah sangat membantu untuk bertransaksi tapi sebaiknya lebih di perhatikan lagi kenyamanan dan segala bentuk ke-error an yang terjadi. Saya sebagai pengguna DANA takut jika ini berefek pada akun DANA saya dan saldo yang ada di dalamnya. Terimakasih, semangat terus! Tolong;
Raja Ray Nasution;1;17/10/2023 13:52;Kenapa ya admin sudah beberapa bulan buka fitur isi pulsa di Dana tidak bisa dibuka/ tidak bisa bertransaksi.... Sama sekali semua fitur tidak berfungsi.... Mau solusi clear data... berulang x ngk efektif solusinya min....;
Alan Febrio;1;09/10/2023 09:31;saya sangat kecewa karena sejak 1bulan yang lalu saya tidak bisa upgrade ke dana premium dan keterangannya karena saat ini dana sedang melakukan pemeliharaan sistem, masak sampai sekarang sudah lebih 1bulan tetap pemelihaan sistem, saldo saya tidak bisa di pindahkan ke rekening kalau begini terus dana premiumnya, ceritanya saldo dana saya di tahan oleh pihak dana kalau begini, custumer care nya juga tidak bisa di mintai bantuan lewat email ataupun whatsapp, percuma. sangat kecewa😭;
Denmas Aries;1;14/10/2023 15:26;Saya melakukan pembayaran kartu kredit via dana sebesar 87 ribu sekian tanggal 1 Oktober 2023. Tetapi karena lupa nomer kartunya akhirnya saya batalkan. Karena masa tenggang kartu saya tinggal sebentar, akhirnya saya top up lagi sebesar 80 ribu. Dan melakukan pembayaran. Tetapi uang transaksi yang saya batalkan pertama belum kembali lagi di saldo dana saya. Padahal sekarang sudah tanggal 8 Oktober 2023. Yang mau instal aplikasi dana harus berfikir panjang lagi apalagi menyangkut uang.;
Vevie Tania;2;06/10/2023 01:53;Akhir-akhir ini setelah update sering terjadi kesahalan pada sistem atau error. Padahal lagi darurat-daruratnya tapi malah error. Tolong yah di perbaiki lagi. Saya kesal banget!;
Iis Sahara;2;14/10/2023 05:57;Tingkat keamanan rendah, fitur CS tidak membantu sama sekali sehingga penanganannya sangat lambat, pada akhirnya saya sebagai user takut memakai aplikasi ini. Baca review orang lain pun sepertinya DANA tidak bisa memberikan solusi atas masalah yang dihadapi user.;
aderomi marsef;2;05/10/2023 03:44;Kenapa pas mau kirim ke teman selalu keluar nomor tidak terdaftar,,?? Padahal udah pernah kirim ke nomer itu dan berhasil, tpi kenapa sekarang mlah gak bisa yaah,, lagi2 keluar nomer belum terdaftar, gimana cara memperbaikinya,??;
iboy king 01 (iboy king 01);5;12/10/2023 02:51;Pada saat kirim uang nomor tujuan selalu tidak terdeteksi atau tidak terdaftar. Dan saat beli pulsa kenpa i arahkan ke top up BCA. Pengaturan dana di hp saya juga tidak muncul ya kenapa.;
Jeksi Armando;1;26/10/2023 18:05;Akhir2 ini dana sering gangguan baik pengiriman langsung, pembayaran, qris... Jika memang belum sukses jgn dibuat dipelaporannya transaksi berhasil, kadang transaksi masih gangguan tetapi sudah di laporkan berhasil;
Nina 1117;1;19/10/2023 07:11;saya memohon untuk jangan mendownload app ini, karena tidak bertanggung jawab atas top up nasabah yg tidak pernah di proses dan laporan tidak di tanggapi dengan baik, CS live saja gak ada, mau ngadu aja kesusahan, dan top up dana saya yang tidak masuk ke saldo, dan setelah saya laporkan ke pihak dana, mereka tidak menanggapi sama sekali dan membuat top saya hangus, padahal terlampir poto transaksi, tapi mereka tidak pernah menanggapi, karna tempat CS live nya saja tidak ada;
Ante Me;1;12/10/2023 17:29;Aplikasi jelek, gak stabil..., pilih2 HP ada yg mau ada yg gak. Akun sy gak bisa transaksi kirim saldo ke temen dan transfer jg gak bs. Komplain jg ribet banget;
juanda juan;1;27/10/2023 00:22;Topud Dana 2x 200.000+50.000 tanggal 8 dan 10 September 2023 sampe sekarang belum juga masuk,sudah lapor ke DANACare lewat email dan telp callcenter tapi tidak ada hasil nya sampe sekarang.sudah update aplikasi malah semakin kacau,riwayat transaksi tidak bisa diakses (eror). sudah 5x lebih saya hubungi Call center dan email tapi tidak ada hasil nya, 27.10.2023 Saya sudah melakukan apa yg tela disarankan baik dari pesan ini, email, cs tp sampe saat ini nihil hasil nya.kebanyakan saran tp .......;
Imas Masliah;1;17/10/2023 14:46;uang sy hilang 100rb karena kirim ke rekening lain, lalu tbtb ke refresh jd kembali ke halaman awal lalu saldo berkurang, pas di liat di riwayat transaksi, tidak ada bukti berhasil atau tidaknya saat kirim uang itu.;
It's me Nanad;1;14/10/2023 18:15;Ini kenapa Dana saya ga bisa di upgrade ke premium, saya jadi ga bisa tf padahal ada saldonya. Saya email tapi email saya di blokir, gimana sih. Tetep ga bisaaa udh ke Diana udh email tetep ga bisa ga ada tanggapan;
Suci Putri;1;17/10/2023 06:38;Saya menggunakan dana udah 2 tahun ini...awal2 nya lancar banget klau mau transfer...tapi kemaren saya transfer uang status y sudah berhasil...tapi uang tidak masuk ke rekening tujuan..sudah hubungi CS nya..kata y lagi eror...saya jadi kecewa...apakah uang saya bisa kembali???;
ahmad guruh;1;16/10/2023 06:36;saya punya saldo di akun dana, ketika mau transfer kita disuruh update dana premium.. tpi ketika mau update tidak bisa karena ktp sdh terdaftar diakun satunya,, trs disuruh pergantian no juga tdk bisa, pemidahan akun juga tdk bisa, terakhir mencabut sttus dipremium utk didaftarkan premium akun satu nya juga tdk bisa.. sdh menghubungi cs berkali-kali tdk ada jalan keluar.. cuma utk sekedar ganti no tidak bisa, ribet drpd beberapa aplikasi mobile banking..;
suara netizen;3;12/10/2023 07:56;Akhir² ini sering kecewa sama dana Tiap transfer uang selalu gak bisa(gak muncul tombol lanjut) harus uninstal dulu terus download lagi. Padahal aku jualan dana😭 Tiap ada orang beli harus uninstal terus download lagi Tolong diperbaiki lagi kak 😭😭;
Ace Saprudin;1;06/10/2023 14:58;Serius sekarang-sekarang jangan pake dana lagi, sinyal bagus tapi aplikasi Lola, kalo ada kendala malah loading muter2 gajelas, terus kalo ada kendala di transaksi lama banget di ACC nya pedahal udah ikutin saran nya tapi gak ada kebijakan sama sekali.;
Kardina Kadir;1;18/10/2023 03:36;Baru kali ini saya ketemu aplikasi yg susah mendaftar, saya sudah selvi di tempat terang dan sudah berualng ulang kali, tetap saja di bilang tidak jelas, harap ke tempat terang, mataharinya tidak terang, ampuuun deeh aplikasi ini😭;
mia mahdalena;1;05/10/2023 09:32;Dana Yth, Saya ingin menyampaikan salah mengirim dana, nomor yang di top up tidak memiliki nama Pengguna, nomor tidak aktif dan setelah di telusuri lewat ig ternyata yg memiliki nomor tidak menggunakan dana dan sudah mengganti nomornya, kenapa pihak dana tidak bisa membatalkan transaksi padahal nomor tidak aktif dan tidak pernah mendaftar dana ? sangat disayangkan. Tidak ada yg membantu masalah nasabah;
eggi Ramadan;3;14/10/2023 18:59;Selamat malam.. Sebelum nya saya mau minta tolong, saya tidak dapat melakukan pengiriman ke bang. Tolong di proses secepatnya.. Saya udah mencoba beberapa kali. Namun pemberitahuan dari aplikasi DANA saya melakukan terlalu banyak pengecekan. Tetapi saya belum melakukan pengecekan. Tolong di perbaiki segera kepa pihak aplikasi dana. Ada kesalah di dalam aplikasi dana tolong segera di perbaiki. Dalam hal pengiriman/transfer;
Muhammad Farisz GADGET;1;15/10/2023 17:40;pdhl udh dana terbaru, udh cek jaringan aman aja kok. tp kok dana msih stuck error truss ya di android 13?? mohon diperbaiki secepatnya tolong min mungkin blm full support sm android 13, tolong diperbaiki dong min. terima kasih;
fendy vousta;1;16/10/2023 20:18;Sudah lama pakai ini. Tapi selama beberapa bulan ini sering terjadi lemot dan bermasalah. Bukannya makin lama makin bagus. Kualitas pelayanan dan kualitas apk makin buruk.;
Alex Erland;1;25/10/2023 05:50;Gimana sih ni apk, mau scan qris aja susah bgt, udh di potong gambar jg tetep aja gua udh 10x potong gambar tetep aja ga bisa ke scan klo emg ga sesuai potongan gambarnya sasih fitur dong biar bisa potong gambar di situ ga usah bolak balik keluar masuk apk;
Muhamad Akbar;2;26/10/2023 04:35;Ini pertama kalinya saya menggunakan dana, tapi kenapa ini Aplikasinya kadang suka log out sendiri ya? dan satu lagi tolong untuk disediakan Fitur penghapusan Akun.karna kadang ada user yang ingin menghapus akun cuma Fitur ini tidak tersedia disini. Dan untuk masalah log out sendiri tolong lebih diperbaiki lagi ya karna cukup mengganggu kalau kadang harus bolak balik log in.;
Ahmad Sukri;1;19/10/2023 08:33;Hati hati dengan aplikasi ini, saldo saya 10juta hilang dan di transfer ke akun bank org lain sebanyak 6x, tanpa ad konfirmasi notifikasi ,saya sudah melapor ke pihak dana tpi tidak ad respon, dan setelah saya selidiki sudah banyak jatuh korban. Semoga aplikasi ini hancur beserta orang2nya;
fran cahyadi;1;18/10/2023 13:45;Kecewa kecewa kecewa. Transaksi saldo sudah terpotong tetapi pembayaran tidak masuk 'status order di proses' sampai sekarang tidak ada konfirmasinya hanya disuruh menunggu tetapi tidak ada kepastian. Nyesel pake app DANA. buat pelajaran aja.;
Faiz Rahmat;5;15/10/2023 01:39;Aplikasi nya bagus dan lengkap,tapi sekarang ini kalo mau transfer suka lemot ..tolong di perbaiki lagi , masa kalau mau transfer harus uninstall app nya dlu baru bisa transfer ..;
rizki novita;4;12/10/2023 14:04;Udah lama pake DANA. Tapi knpa akhir2 ini tf ke sesama DANA tidak pernah muncul tombol kirim nyaa... Pdhal tf ke rekening bank bisa dan lancar... Sudah gitu. Buka aplikasi nya makin ksni makin lamaa sekali... Pindah menu juga lamaa munculnyaa... Mohon untuk bisa d perbaiki lagi demi kenyamanan pengguna...;
Fauzi Ramdhan Zakaria;1;04/10/2023 11:46;"Bagaimana ini? Saya mau transfer tetapi tidak bisa, selalu muncul ""tidak ada koneksi internet"" padahal koneksi saya bagus, buka M-Banking lancar tidak ada masalah. Tolong segera perbaiki kekurangannya, pengguna DANA sekarang sudah mulai kecewa karena tidak bisa dipakai disaat kita sangat membutuhkan";
Jack Paknerafa;5;09/10/2023 05:06;Saya udah lama pakai aplikasi ini, tapi sayang, saya dibuat kecewa, tgl 06 Oktober saya transfer ke BR I sebesar 800.000, transaksi berhasil, tapi uang tidak sampai tujuan, udah chat di bantuan tapi sampai saat ini uang juga belum sampai, mungkin lewat sini bisa diselesaikan masalah saya, karena itu uang mau buat bayar angsuran.;
yuri ana;1;12/10/2023 15:10;Mau transfer uang di suru upgrade ke dana premium , setelah upgrade malah g berhasil. Gimana sih ini dana kok jelek sekali. Mana pelayanannya kurang memuaskan. Trs mau narik uang jg g bisa;
Ida Ayu Bintang Asti Astiti;1;12/10/2023 07:31;biasanya ini dana biasa aja, tapi ini setelah ada update malah gabisa buat transfer uang ke orang, error terus keluar dari aplikasi, pending parah. tolong diperbaiki, saya yang bergantung sama dana jadi susah jika seperti ini.;
Soleh Uddin;5;09/10/2023 07:27;Mohon admin dana saya selaku pengguna merasa kecewa karena akun saya error' tidak bisa login padahal tidak ada masalah ataupun pemberitahuan sebelum nya. Ketika saya ingin login selalu gagal karna alasan keamanan padahal akun saya sudah terverifikasi semua.;
Daffa Alfatah;1;04/10/2023 11:31;Dana sekarang gk jelas bikin emosi. Setiap kali mau tarik tunai di alfamaret ataupun Pegadaian selalu gangguan/ tidak bisa. Sedangkan saya sedang butuh uang nya saat itu juga. Dan hal seperti ini sering kali terjadi. Tolong Developer di perbaiki!!;
Akhsol Fahrudin;2;13/10/2023 00:36;"bagus sih, cm sayang kadang saldo kepotong otomatis tanpa disadari tiba"" hilang. Yang terbaru semalem habis kehilangan saldo lumayan banyak sih, tiba-tiba saldo otomatis kepotong pdahal keamanan akun udah 2 yaitu sidik jari dan pin tapi tetep aja kebobol tanpa konfirmasi pihak pengguna. Dana gak peduli dan gak mau bantu buat refund pengembalian dana";
ananda aditia;1;06/10/2023 14:55;saya menggunakan aplikasi dana dari pertama kali aplikasi dana muncul sampai saat ini. tadinya bagus tapi sekarang saya merasa kecewa dengan aplikasi ini.. karna saya selalu kesulitan dalam mengirim / transfer. di tambah dengan aplikasinya sangat lemot. chat bantuan juga sulit menjelaskan masalahnya di karenakan yang balas chat hanya system.. parah. mending saya hapus akun dan meng uninstal aplikasi jelek ini;
Ubay AlGhifari;4;10/10/2023 22:24;Sudah 2 hari aplikasi dana saya erorr..setiap buka aplikasi dana keterangan selalu 'dana tidak menanggapi' seperti itu terus..mohon bantuannya untuk bisa di perbaiki..saya jadi tidak bisa transaksi..;
Lilis Sari;1;22/10/2023 23:10;Pagi2 udah gangguan,, mana transaksi 2 kali di pending tapi yg satunya tidak ada riwayatnya.. Parah banget nih aplikasi dana suka nyuri saldo tanpa ada riwayatnya.. 😡😡😡;
Omponk;3;10/10/2023 11:43;semakin hari update aplikasi buruk, tolong ya developer kalo update itu yang penting saja. performa aplikasi di utamakan, kirim-masuk uang itu lebih penting dan mudah server suka down-blank forbidden gitu. update aplikasi kok ampas dari Agustus sampai Oktober buruk. masalah belum teratasi.. tolong ya pihak developer update itu yang penting. gak nyaman sekarang pakai DANA update aplikasi menurun..;
Ariefkacong Ariefjulianto06;1;06/10/2023 03:55;Saat saya bertransaksi mengirim saldo, transaksi saya gagal tidak bisa terkirim, dan transaksi pengiriman saya pun sedang berlangsung, setelah itu menunggu waktu 1 jam saldo saya akan kembali, tetapi sebalik nya malah saldo saya tidak masuk masuk padahal waktu yang telah di tentukan sudah selesai;
Fx Nano;2;03/10/2023 02:06;lemot dan berat,,, sering kali saya kalo mau transfer itu banyak sekali kendala.seperti nomor dana tidak terdaftar lah ini lah itu lah sejauh ini saya sangat kecewa atas prihala ini tolong di perbaiki lagi buat lah aplikasi se ringan mungkin agar pengguna mendapat kan kenyamanan;
Mike kymcoz;5;16/10/2023 12:19;Saya mau beri saran , tlg kalau bisa setiap melakukan transaksi transfer brp pun , pembayaran dan melakukan pembelian dan Top Up saldo dana ada dapat point donk. Sering Top Up dan melakukan transfer dan pembayaran ini gk ada dpt point nya dan sekarang ini kena biaya admin Rp500 dan Rp1000 kalau sering melakukan Top Up Saldo Dana dlm sehari.;
Purwono Saniman;2;09/10/2023 18:47;Woi alpikasinya knp smngkin hari semnakin parah.. Mau kirim aja loadingnya setengah hari.. Kalo gak niat bikin alpikasi hapus saja dari pada bikin orang emosi. Banyaknya mslah di dana tolong perbaiki. Kenapa gak muncul muncul tombol lanjut,. Kalo mau kirim Percuma berapa kali hapus data berpa kali download tetap aja sama..udahlh capek terserah.;
Fadri Afandi;1;19/10/2023 06:04;Kecewa saya dengan aplikasi dana sekarang, udah 3 tahun lebih saya Makai dana. Bisa bisanya akun saya ditangguhkan, tanpa melakukan pelanggaran. Habis top up dari mobile banking, sekitar 2 jam kemudian langsung di tangguh kan tanpa sebab dan pemberitahuan!;
Ahmad Figo;1;07/10/2023 06:46;Habis update versi terbaru. Kok berat banget aplikasinya. Mau buka apl nya aja nunggu 1 menit, buat ngirim sampe ga bisa. Tolong di perbaiki aplikasinya. Kasian yang masih pake hp kentang kaya saya ini.;
PJA Extream;1;04/10/2023 11:20;Sangat buruk sekali apk ini.. ngelag, sering eror, TF kdg GK bisa, klik ini itu muter muter trus lama buka pdhl sinyal full. Giliran top up aja cepet masuknya..👎👎👎;
Aengkusajaha Ajaha;3;09/10/2023 13:58;Kenapa ya ko dana yang punya saya kalau mau kirim uang ga bisa, harus di unistal dulu, terus di donwload lagi, baru bisa, trus ngisi pulsa ga masuk masuk, tapi saldo udah berkurang, udah ke ambil, pulsa ga masuk saldonya ga kembali HILANG LAH, TAH KEMAN TUH,!!! DANA SEMAKIN JELEK,;
Kael Invoker;1;14/10/2023 22:04;Entah kenapa DANA premium saya tidak bisa di upgrade padahal data lengkap, dari pihak DANA juga tanggapannya lambat sudah 3 bulan lebih tidak bisa upgrade DANA, tolong segera diproses untuk akun DANA saya. Terima kasih;
